Rank,Restaurant,GastroEval_Score,Total_Aspect_Evidence,Aspects_With_Evidence,Aspect_Coverage_Pct,Recommendation,Ambience_Score,Food_Quality_Score,Hygiene_Score,Overall_Experience_Score,Service_Score,Value_for_Money_Score,Mean_Evidence_Confidence_Pct
1,AB's - Absolute Barbecues,85.03,217,5,83.33,Highly Recommended,74.36,87.96,50.0,75.61,89.81,52.38,44.61
2,Paradise,83.26,240,6,100.0,Recommended,78.57,87.1,56.52,73.68,88.35,54.35,49.52
3,The Indi Grill,82.76,245,6,100.0,Recommended,80.56,86.11,52.38,74.36,88.66,58.93,51.42
4,B-Dubs,82.75,163,5,83.33,Recommended,77.27,85.52,50.0,72.22,88.1,56.52,43.65
5,Flechazo,81.26,238,6,100.0,Recommended,77.0,84.28,52.38,77.27,85.49,61.54,50.79
6,"3B's - Buddies, Bar & Barbecue",80.53,187,5,83.33,Recommended,71.43,84.62,50.0,71.43,84.88,62.96,44.86
7,The Fisherman's Wharf,80.52,238,6,100.0,Recommended,84.46,84.09,52.38,81.13,78.36,65.15,55.23
8,Zega - Sheraton Hyderabad Hotel,79.7,215,6,100.0,Recommended,82.76,84.54,52.38,74.42,80.0,53.57,51.25
9,Beyond Flavours,76.9,250,5,83.33,Recommended,80.67,77.12,50.0,77.18,77.64,59.62,52.08
10,Cascade - Radisson Hyderabad Hitec City,76.3,255,6,100.0,Recommended,76.0,76.76,50.0,74.0,83.93,53.7,52.85
11,Barbeque Nation,75.97,207,6,100.0,Recommended,68.6,79.91,45.45,68.42,80.34,54.35,47.11
12,Deli 9 Bistro,74.88,185,6,100.0,Generally Recommended,78.3,78.64,47.62,71.88,73.53,58.62,49.63
13,The Glass Onion,74.58,243,5,83.33,Generally Recommended,81.64,77.93,50.0,71.11,72.22,58.33,54.81
14,Mazzo - Marriott Executive Apartments,74.32,205,6,100.0,Generally Recommended,80.3,76.85,47.62,69.44,71.01,60.0,48.57
15,Feast - Sheraton Hyderabad Hotel,74.12,220,6,100.0,Generally Recommended,76.14,76.69,50.0,65.39,78.73,56.67,50.96
16,Chinese Pavilion,73.92,214,6,100.0,Generally Recommended,72.45,73.49,47.62,73.68,81.45,62.5,50.23
17,Khaan Saab,73.64,242,6,100.0,Generally Recommended,77.34,75.4,45.45,73.81,75.0,55.36,53.05
18,American Wild Wings,72.63,159,6,100.0,Generally Recommended,71.43,75.63,54.55,65.52,70.0,71.8,42.96
19,Arena Eleven,72.43,222,5,83.33,Generally Recommended,78.03,76.92,50.0,70.0,66.43,56.9,50.84
20,Absolute Sizzlers,72.15,202,5,83.33,Generally Recommended,73.91,72.28,50.0,82.84,71.64,55.0,51.4
21,Gal Punjab Di,71.92,184,6,100.0,Generally Recommended,77.08,73.48,50.0,77.27,67.78,61.29,48.55
22,NorFest - The Dhaba,71.88,191,6,100.0,Generally Recommended,59.26,76.33,50.0,75.0,65.15,70.65,46.2
23,Frio Bistro,71.86,196,5,83.33,Generally Recommended,67.44,75.79,50.0,71.25,73.69,55.0,47.64
24,Komatose - Holiday Inn Express & Suites,71.55,145,5,83.33,Generally Recommended,76.56,75.0,50.0,67.19,67.65,57.14,44.51
25,Hyderabadi Daawat,71.2,230,6,100.0,Generally Recommended,71.25,72.48,56.52,80.39,71.7,58.82,52.31
26,Hyper Local,71.13,221,6,100.0,Generally Recommended,77.47,72.86,47.62,66.31,70.59,58.33,53.0
27,Marsala Food Company,69.75,264,6,100.0,Generally Recommended,70.97,68.95,50.0,77.18,70.83,65.85,56.36
28,Jonathan's Kitchen - Holiday Inn Express & Suites,69.62,242,5,83.33,Generally Recommended,75.0,72.55,50.0,72.09,64.7,53.57,49.93
29,Urban Asia - Kitchen & Bar,69.43,233,6,100.0,Generally Recommended,70.93,74.49,47.62,68.42,64.79,59.09,50.54
30,Banana Leaf Multicuisine Restaurant,69.05,148,5,83.33,Generally Recommended,67.57,71.35,50.0,62.07,70.0,65.22,43.78
