Restaurant,Aspect,Evidence_Count,Negative,Neutral,Positive,Aspect_Score,Evidence_Confidence,Evidence_Confidence_Pct,Adjusted_Aspect_Score
Beyond Flavours,Food Quality,98,13,8,77,82.65,0.8305084745762712,83.05,77.12
Beyond Flavours,Service,65,9,0,56,86.15,0.7647058823529411,76.47,77.64
Beyond Flavours,Ambience,55,4,1,50,91.82,0.7333333333333333,73.33,80.67
Beyond Flavours,Value for Money,6,0,1,5,91.67,0.23076923076923078,23.08,59.62
Beyond Flavours,Hygiene,0,0,0,0,50.0,0.0,0.0,50.0
Beyond Flavours,Overall Dining Experience,26,0,1,25,98.08,0.5652173913043478,56.52,77.18
Paradise,Food Quality,104,3,6,95,94.23,0.8387096774193549,83.87,87.1
Paradise,Service,83,2,0,81,97.59,0.8058252427184466,80.58,88.35
Paradise,Ambience,29,0,1,28,98.28,0.5918367346938775,59.18,78.57
Paradise,Value for Money,3,0,1,2,83.33,0.13043478260869565,13.04,54.35
Paradise,Hygiene,3,0,0,3,100.0,0.13043478260869565,13.04,56.52
Paradise,Overall Dining Experience,18,0,0,18,100.0,0.47368421052631576,47.37,73.68
Flechazo,Food Quality,104,6,7,91,90.87,0.8387096774193549,83.87,84.28
Flechazo,Service,73,3,1,69,95.21,0.7849462365591398,78.49,85.49
Flechazo,Ambience,30,1,1,28,95.0,0.6,60.0,77.0
Flechazo,Value for Money,6,0,0,6,100.0,0.23076923076923078,23.08,61.54
Flechazo,Hygiene,1,0,0,1,100.0,0.047619047619047616,4.76,52.38
Flechazo,Overall Dining Experience,24,0,0,24,100.0,0.5454545454545454,54.55,77.27
Shah Ghouse Hotel & Restaurant,Food Quality,80,19,11,50,69.38,0.8,80.0,65.5
Shah Ghouse Hotel & Restaurant,Service,14,3,3,8,67.86,0.4117647058823529,41.18,57.35
Shah Ghouse Hotel & Restaurant,Ambience,9,4,1,4,50.0,0.3103448275862069,31.03,50.0
Shah Ghouse Hotel & Restaurant,Value for Money,7,1,0,6,85.71,0.25925925925925924,25.93,59.26
Shah Ghouse Hotel & Restaurant,Hygiene,5,3,1,1,30.0,0.2,20.0,46.0
Shah Ghouse Hotel & Restaurant,Overall Dining Experience,11,1,0,10,90.91,0.3548387096774194,35.48,64.52
The Fisherman's Wharf,Food Quality,90,5,5,80,91.67,0.8181818181818182,81.82,84.09
